日期,时间,时段,道路,距离_km,用时_min,红绿灯数,数据来源,平均速度_kmh
2026-08-31,08:08,早高峰,Nanjing Street,4.1,22.0,14.0,真实,11.18
2026-08-31,08:08,早高峰,Qingnian Street,4.9,25.0,22.0,真实,11.76
2026-08-31,08:08,早高峰,Jianshe Road,3.5,18.0,13.0,真实,11.67
2026-08-31,12:03,中午平峰,Nanjing Street,4.1,16.0,14.0,真实,15.37
2026-08-31,12:03,中午平峰,Qingnian Street,4.6,19.0,18.0,真实,14.53
2026-08-31,12:03,中午平峰,Jianshe Road,3.5,13.0,13.0,真实,16.15
2026-08-31,17:41,晚高峰,Nanjing Street,4.1,17.0,14.0,真实,14.47
2026-08-31,17:41,晚高峰,Qingnian Street,4.6,21.0,18.0,真实,13.14
2026-08-31,17:41,晚高峰,Jianshe Road,3.5,16.0,13.0,真实,13.12
2026-08-31,21:12,夜间平峰,Nanjing Street,4.1,12.0,14.0,真实,20.5
2026-08-31,21:12,夜间平峰,Qingnian Street,4.6,15.0,18.0,真实,18.4
2026-08-31,21:12,夜间平峰,Jianshe Road,3.5,11.0,13.0,真实,19.09
2026-09-01,08:09,早高峰,Nanjing Street,4.1,23.0,14.0,真实,10.7
2026-09-01,08:09,早高峰,Qingnian Street,4.6,27.0,18.0,真实,10.22
2026-09-01,08:09,早高峰,Jianshe Road,3.5,23.0,13.0,真实,9.13
2026-09-01,12:13,中午平峰,Nanjing Street,4.1,15.0,14.0,真实,16.4
2026-09-01,12:13,中午平峰,Qingnian Street,4.6,18.0,18.0,真实,15.33
2026-09-01,12:13,中午平峰,Jianshe Road,3.5,12.0,13.0,真实,17.5
2026-09-01,17:54,晚高峰,Nanjing Street,4.1,14.0,14.0,真实,17.57
2026-09-01,17:54,晚高峰,Qingnian Street,4.6,20.0,18.0,真实,13.8
2026-09-01,17:54,晚高峰,Jianshe Road,3.5,16.0,13.0,真实,13.12
2026-09-01,21:33,夜间平峰,Nanjing Street,4.1,13.0,14.0,真实,18.92
2026-09-01,21:33,夜间平峰,Qingnian Street,4.6,16.0,18.0,真实,17.25
2026-09-01,21:33,夜间平峰,Jianshe Road,3.5,12.0,13.0,真实,17.5
2026-09-02,08:23,早高峰,Nanjing Street,4.1,22.0,14.0,真实,11.18
2026-09-02,08:23,早高峰,Qingnian Street,4.6,22.0,18.0,真实,12.55
2026-09-02,08:23,早高峰,Jianshe Road,3.5,21.0,13.0,真实,10.0
2026-09-02,12:12,中午平峰,Nanjing Street,4.1,15.0,14.0,模拟,16.4
2026-09-02,12:12,中午平峰,Qingnian Street,4.6,18.0,18.0,模拟,15.33
2026-09-02,12:12,中午平峰,Jianshe Road,3.5,13.0,13.0,模拟,16.15
2026-09-02,18:08,晚高峰,Nanjing Street,4.1,14.0,14.0,真实,17.57
2026-09-02,18:08,晚高峰,Qingnian Street,4.6,21.0,18.0,真实,13.14
2026-09-02,18:08,晚高峰,Jianshe Road,3.5,14.0,13.0,真实,15.0
2026-09-02,20:48,夜间平峰,Nanjing Street,4.1,12.0,14.0,真实,20.5
2026-09-02,20:48,夜间平峰,Qingnian Street,4.6,16.0,18.0,真实,17.25
2026-09-02,20:48,夜间平峰,Jianshe Road,3.5,11.0,13.0,真实,19.09
import pandas as pd,,,,,,,,
# 原来的CSV文件,,,,,,,,
"input_file = ""沈阳交通三天数据.csv""",,,,,,,,
# 读取数据,,,,,,,,
df = pd.read_csv(input_file),,,,,,,,
# 中英文道路名称对应表,,,,,,,,
road_name_map = {,,,,,,,,
"    ""南京街"": ""Nanjing Street""",,,,,,,,
"    ""青年大街"": ""Qingnian Street""",,,,,,,,
"    ""建设大路"": ""Jianshe Road""",,,,,,,,
},,,,,,,,
# 将道路名替换为英文,,,,,,,,
"df[""道路""] = df[""道路""].replace(road_name_map)",,,,,,,,
# 保存为新的CSV,,,,,,,,
"output_file = ""Shenyang_Traffic_3_Days.csv""",,,,,,,,
df.to_csv(output_file, index=False," encoding=""utf-8-sig"")",,,,,,
# 检查结果,,,,,,,,
print(df),,,,,,,,
"print(""\n一共整合了""", len(df)," ""条数据"")",,,,,,
"print(""道路名称："""," df[""道路""].unique())",,,,,,,
"print(""新CSV文件名：""", output_file),,,,,,,
